accuracy
8.079000711441040039e-01
8.148000240325927734e-01
7.899000048637390137e-01
8.123000264167785645e-01
8.169000744819641113e-01
7.873001098632812500e-01
1.008000001311302185e-01
1.173000037670135498e-01
8.071000576019287109e-01
7.759000062942504883e-01
8.034999966621398926e-01
8.146001100540161133e-01
8.049000501632690430e-01
8.104999661445617676e-01
7.871000170707702637e-01
8.092000484466552734e-01
8.140000700950622559e-01
8.262999653816223145e-01
8.115000724792480469e-01
8.159000277519226074e-01
8.055000305175781250e-01
8.022999763488769531e-01
8.221000432968139648e-01
7.753999829292297363e-01
8.065000176429748535e-01
8.083000779151916504e-01
7.814999818801879883e-01
8.109000325202941895e-01
8.061000704765319824e-01
7.838999629020690918e-01
7.845000028610229492e-01
8.093000054359436035e-01
8.136001229286193848e-01
7.813000082969665527e-01
7.683000564575195312e-01
8.192000389099121094e-01
9.729999303817749023e-02
8.150000572204589844e-01
8.165000677108764648e-01
8.176000118255615234e-01
7.996000051498413086e-01
8.225000500679016113e-01
8.021000027656555176e-01
7.779999971389770508e-01
8.122999668121337891e-01
8.006999492645263672e-01
7.838999629020690918e-01
7.786999940872192383e-01
8.164000511169433594e-01
9.800000488758087158e-02
8.113000392913818359e-01
7.721999883651733398e-01
8.115000128746032715e-01
7.870000004768371582e-01
8.253999948501586914e-01
8.007000684738159180e-01
7.880000472068786621e-01
8.100000619888305664e-01
8.123000860214233398e-01
8.140999674797058105e-01
8.110000491142272949e-01
8.136999607086181641e-01
7.839000821113586426e-01
7.706000804901123047e-01
7.800000309944152832e-01
7.846000194549560547e-01
8.090000152587890625e-01
8.114001154899597168e-01
8.140999674797058105e-01
8.152000308036804199e-01
8.154000639915466309e-01
8.230000138282775879e-01
8.063000440597534180e-01
8.168000578880310059e-01
8.046000599861145020e-01
8.087000846862792969e-01
8.134000897407531738e-01
8.143000602722167969e-01
8.166000247001647949e-01
8.263000845909118652e-01
8.188999891281127930e-01
8.183000087738037109e-01
8.113000988960266113e-01
8.102000355720520020e-01
8.172000050544738770e-01
8.229000568389892578e-01
7.847999930381774902e-01
7.844000458717346191e-01
8.113999962806701660e-01
8.115000128746032715e-01
8.094000220298767090e-01
8.135000467300415039e-01
8.088999986648559570e-01
8.064000606536865234e-01
8.123000860214233398e-01
8.094000816345214844e-01
8.087000846862792969e-01
8.287999629974365234e-01
8.112999796867370605e-01
8.163000345230102539e-01
